Unit No,"Type (1,17)",Tare(ton),Net(ton),Gross(ton),Len(ft),Axles(n),aRes,bRes*1000,cRes*1000,eMax(MWh),eInit(MWh),teMax (kips),ptMax (kw),catMax (kw),batMax (kw),auxMax (kw),rbMax (kw),dbMax (kw)
1,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
2,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
3,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
4,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
5,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
6,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
7,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
8,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
9,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
10,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
11,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
12,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
13,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
14,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
15,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
16,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
17,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
18,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
19,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
20,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
21,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
22,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
23,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
24,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
25,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
26,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
27,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
28,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
29,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
30,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
31,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
32,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
33,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
34,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
35,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
36,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
37,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
38,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
39,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
40,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
41,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
42,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
43,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
44,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
45,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
46,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
47,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
48,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
49,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
50,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
51,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
52,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
53,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
54,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
55,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
56,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
57,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
58,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
59,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
60,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
61,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
62,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
63,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
64,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
65,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
66,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
67,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
68,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
69,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
70,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
71,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
72,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
73,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
74,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
75,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
76,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
77,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
78,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
79,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
80,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
81,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
82,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
83,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
84,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
85,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
86,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
87,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
88,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
89,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
90,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
91,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
92,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
93,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
94,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
95,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
96,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
97,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
98,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
99,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
100,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
101,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
102,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
103,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
104,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
105,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
106,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
107,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
