energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_charging_stations,operational_refueling_energy_use (GJ),energy_refueled_to_tenders&locomotives (GJ),cost_per_station ($),infrastructure_O&M_cost ($/year)
Reference/business as usual,Baseline,2025,california,battery,69,2319616.5036118836,23934172.798373245,1265791822.209758,126579180.22886127
Reference/business as usual,Baseline,2025,california,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,california,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,california,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,california,hydrogen,69,2933.6250842878453,70407002.02451618,5451206739.176473,545120664.654669
Reference/business as usual,Baseline,2025,central,battery,88,1983123.0549350907,20436955.867176976,1422592816.753949,142259278.0426897
Reference/business as usual,Baseline,2025,central,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,central,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,central,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,central,hydrogen,88,2781.364245480133,66752741.891379595,6131589927.747113,613158981.495395
Reference/business as usual,Baseline,2025,middle_atlantic,battery,156,2739830.1543354075,28205225.80367462,2369348970.8275266,236934889.77433997
Reference/business as usual,Baseline,2025,middle_atlantic,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,middle_atlantic,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,middle_atlantic,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,middle_atlantic,hydrogen,156,3687.6601957336256,88503844.69451171,9807164599.211294,980716440.6177485
Reference/business as usual,Baseline,2025,north_central,battery,147,1816020.1289675948,18657138.300534874,2082094635.3938358,208209455.7951496
Reference/business as usual,Baseline,2025,north_central,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_central,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_central,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_central,hydrogen,147,1553.280757988287,37278738.18441028,7598746765.600433,759874659.4398215
Reference/business as usual,Baseline,2025,north_east,battery,50,744258.598551119,7655153.464671265,733080726.048763,73308070.1125072
Reference/business as usual,Baseline,2025,north_east,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_east,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_east,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_east,hydrogen,50,753.6913918969262,18088593.40355538,2777250662.8956785,277725060.34093416
Reference/business as usual,Baseline,2025,north_west,battery,45,630435.3567516477,6482110.654300143,652026301.2909395,65202627.8418455
Reference/business as usual,Baseline,2025,north_west,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_west,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_west,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_west,hydrogen,45,769.32895912688,18463895.017479353,2577318636.6338477,257731858.25896376
Reference/business as usual,Baseline,2025,south_east,battery,117,2172653.715928054,22372249.87833605,1800169964.3764768,180016991.08822662
Reference/business as usual,Baseline,2025,south_east,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_east,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_east,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_east,hydrogen,117,2759.379595030377,66225110.27839303,7349932140.266411,734993199.5526482
Reference/business as usual,Baseline,2025,south_west,battery,24,397716.9428335714,4093125.4377437765,359836553.4700396,35983654.19598728
Reference/business as usual,Baseline,2025,south_west,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_west,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_west,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_west,hydrogen,24,455.5209846851368,10932503.631711539,1413217585.7076015,141321755.66323897
Reference/business as usual,Baseline,2025,texas,battery,77,1303325.510202411,13414678.33042875,1159846701.6776266,115984666.50550635
Reference/business as usual,Baseline,2025,texas,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,texas,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,texas,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,texas,hydrogen,77,1762.574664680877,42301791.95068156,4791464881.120846,479146478.6162008
Reference/business as usual,Baseline,2025,california,battery,69,3091220.756960904,31915665.70439826,1417505412.6608934,141750540.1379987
Reference/business as usual,Baseline,2030,california,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,california,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,california,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,california,hydrogen,69,2933.6250842878453,70407002.02451618,5451206739.176473,545120664.654669
Reference/business as usual,Baseline,2025,central,battery,88,2642121.9020694727,27253655.750118867,1552165821.0083623,155216579.2060621
Reference/business as usual,Baseline,2030,central,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,central,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,central,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,central,hydrogen,88,2781.364245480133,66752741.891379595,6131589927.747113,613158981.495395
Reference/business as usual,Baseline,2025,middle_atlantic,battery,156,3649486.659905606,37614734.518297955,2548206531.472495,254820646.8574483
Reference/business as usual,Baseline,2030,middle_atlantic,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,middle_atlantic,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,middle_atlantic,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,middle_atlantic,hydrogen,156,3687.6601957336256,88503844.69451171,9807164599.211294,980716440.6177485
Reference/business as usual,Baseline,2025,north_central,battery,147,2417948.8178310506,24883503.097312994,2200446448.7575603,220044637.80554733
Reference/business as usual,Baseline,2030,north_central,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,north_central,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,north_central,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_central,hydrogen,147,1553.280757988287,37278738.18441028,7598746765.600433,759874659.4398215
Reference/business as usual,Baseline,2025,north_east,battery,50,991184.473535593,10209360.63881333,781631535.4910194,78163151.33323449
Reference/business as usual,Baseline,2030,north_east,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,north_east,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,north_east,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_east,hydrogen,50,753.6913918969262,18088593.40355538,2777250662.8956785,277725060.34093416
Reference/business as usual,Baseline,2025,north_west,battery,45,839536.1835895546,8645054.623060003,693139912.4046543,69313989.18736307
Reference/business as usual,Baseline,2030,north_west,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,north_west,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,north_west,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,north_west,hydrogen,45,769.32895912688,18463895.017479353,2577318636.6338477,257731858.25896376
Reference/business as usual,Baseline,2025,south_east,battery,117,2894156.461831202,29835491.589496914,1942032546.9454803,194203250.15304843
Reference/business as usual,Baseline,2030,south_east,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,south_east,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,south_east,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_east,hydrogen,117,2759.379595030377,66225110.27839303,7349932140.266411,734993199.5526482
Reference/business as usual,Baseline,2025,south_west,battery,24,529732.3013357971,5458695.472899157,385793543.6578671,38579353.36259765
Reference/business as usual,Baseline,2030,south_west,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,south_west,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,south_west,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,south_west,hydrogen,24,455.5209846851368,10932503.631711539,1413217585.7076015,141321755.66323897
Reference/business as usual,Baseline,2025,texas,battery,77,1735980.4471563972,17890071.376885865,1244915742.739545,124491571.09617482
Reference/business as usual,Baseline,2030,texas,biodiesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,texas,catenary,0,0.0,0.0,,
Reference/business as usual,Baseline,2030,texas,diesel,0,0.0,0.0,,
Reference/business as usual,Baseline,2025,texas,hydrogen,77,1762.574664680877,42301791.95068156,4791464881.120846,479146478.6162008
