yNum,Yard,nLinks,State,OneNode,Lon,Lat,include
518,NORRIS,1,AL,422388,-86.683131,33.556361,TRUE
519,NORTH,10,CO,340745,-105.000024,29.754897,TRUE
520,NORTH (CN),2,IL,404569,-88.91733,39.87407,TRUE
521,"North Baltimore, OH - Northwest Ohio ICTF",3,OH,436262,-83.899861,41.152075,TRUE
522,"North Bergen, NJ",3,NJ,489665,-74.058969,40.753222,TRUE
523,NORTH CHARLESTON,1,SC,461299,-79.995004,32.865336,TRUE
524,"North Charleston Terminal, SC",1,SC,461451,-79.980086,32.895935,TRUE
525,NORTH COUNCIL BLUFFS,1,IA,366532,-95.897663,41.547102,TRUE
526,NORTH END,1,OK,354829,-97.86188,36.438694,TRUE
527,NORTH GULFPORT,1,MS,403426,-89.095997,30.422475,TRUE
528,NORTH JACKSON,2,MS,395432,-90.191825,32.307847,TRUE
529,NORTH LITTLE ROCK,2,AR,385895,-92.250595,34.763673,TRUE
530,NORTH PORT,1,SC,461512,-79.973699,32.861926,TRUE
531,NORTH ST LOUIS,1,MO,395565,-90.187011,38.654044,TRUE
532,NORTH TOPEKA,2,KS,367767,-95.676799,39.069354,TRUE
533,NORTHERN MAINE JUNCTION,1,ME,496228,-68.868608,44.789321,TRUE
534,NORTHERN MAINE JUNCTION (MMA),3,ME,496219,-68.870318,44.783316,TRUE
535,NORTHERN MAINE JUNCTION (ST),3,ME,496268,-68.860215,44.787614,TRUE
536,NORTON,1,VA,443823,-82.634271,36.930669,TRUE
537,NYK / EVERGREEN TERMINAL YARD,3,CA,320808,-118.269571,33.738923,TRUE
538,OAK,1,MI,439956,-83.244346,42.379061,TRUE
539,OAK ISLAND,7,NJ,487930,-74.186431,40.711205,TRUE
540,OAK POINT,1,NY,490514,-73.911994,40.800941,TRUE
541,OAK ST,1,KY,426286,-85.774788,38.24831,TRUE
542,OAKFIELD,2,ME,496629,-68.148693,46.105375,TRUE
543,Oakland International Container Terminal (OICT),1,CA,308171,-122.301239,37.815038,TRUE
544,OAKWOOD,1,MI,440152,-83.203472,42.270889,TRUE
545,Ocean Terminal,3,GA,453492,-81.13121,32.084514,TRUE
546,OLD CITY,1,TX,369967,-95.293724,29.745618,TRUE
547,OLD SOUTH,1,TX,369471,-95.346567,29.74929,TRUE
548,OLEAN,1,NY,469742,-78.655776,42.133058,TRUE
549,OLIVER,3,LA,397690,-90.050271,29.962071,TRUE
550,OMAHA INDUSTRIAL,2,NE,366219,-95.925645,41.270399,TRUE
551,OSBORN,4,KY,426373,-85.752673,38.117734,TRUE
552,OTTUMWA,1,IA,383866,-92.826209,40.885528,TRUE
553,OWOSSO,1,MI,434779,-84.136271,42.979971,TRUE
554,OXNARD YARD,1,CA,318643,-119.200459,34.246553,TRUE
555,PALESTINE,2,TX,367886,-95.645557,31.752012,TRUE
556,Palm Beach Terminal,1,FL,460692,-80.064165,26.776531,TRUE
557,PALMER,1,MA,492956,-72.330103,42.156346,TRUE
558,PARKERSBURG HIGH,2,WV,450899,-81.565948,39.260324,TRUE
559,PAULSBORO,2,NJ,484095,-75.252149,39.832723,TRUE
560,PAVONIA,1,NJ,484902,-75.117152,39.9191,TRUE
561,PEACH,1,TX,358261,-97.326853,32.771061,TRUE
562,PENN MARY,1,MD,478879,-76.554519,39.266716,TRUE
563,"Philadelphia, PA - Greenwhich",3,PA,484496,-75.19242,39.900559,TRUE
564,"Phoenix, AZ - Glendale",1,AZ,332238,-112.16477,33.461947,TRUE
565,PIERCE,3,TX,369578,-95.330327,29.818901,TRUE
566,Pierce County Terminal (PCT),3,WA,306734,-122.37488,47.24777,TRUE
567,PITTSBURG,1,MO,374579,-94.616788,37.52893,TRUE
568,PITTSBURG YARD,1,CA,311238,-121.926061,38.029738,TRUE
569,"Pittsburgh, PA",3,PA,463838,-79.853213,40.316056,TRUE
570,"Pittsburgh, PA - McKees Rocks",3,PA,460816,-80.056473,40.469301,TRUE
571,PLAINVIEW,4,TX,347095,-101.69507,34.190352,TRUE
572,PLUNKETT,1,WV,449337,-81.729106,37.60479,TRUE
573,POLK YARD,1,CA,312915,-121.408285,38.526899,TRUE
574,POMONA INTERMODAL,2,NC,463898,-79.852046,36.057558,TRUE
575,POND,2,NY,490599,-73.890231,40.706404,TRUE
576,POPLAR BLUFF,1,MO,392501,-90.514175,36.498502,TRUE
577,Port Bienville Industrial Park,1,MS,401234,-89.575694,30.211808,TRUE
578,PORT LAREDO,6,TX,350283,-99.472464,27.661892,TRUE
579,PORT NEWARK,4,NJ,488182,-74.162263,40.68602,TRUE
580,"Port Newark Container Terminal, NJ - ExpressRail (Newark)",1,NJ,488248,-74.156176,40.695397,TRUE
581,PORT OF ALBANY,3,NY,490936,-73.803994,42.531637,TRUE
582,Port of Fernandina,1,FL,451777,-81.463262,30.661476,TRUE
583,PORT READING,1,NJ,487449,-74.248175,40.567566,TRUE
584,Port Westward Industrial Park,1,WA,302041,-123.007097,46.145364,TRUE
585,PORTAL,1,ND,345051,-102.549083,48.998972,TRUE
586,"Portland, OR - Brooklyn",2,OR,304885,-122.664784,45.508892,TRUE
587,"Portland, OR - Terminal 2 (Guilds Lake)",2,OR,303560,-122.768459,45.590264,TRUE
588,"Portland, OR - Terminal 6",1,OR,304016,-122.725608,45.622137,TRUE
589,Portsmouth Empty Container Yard (PPCY),1,VA,479932,-76.329598,36.846772,TRUE
590,"Portsmouth, VA",1,VA,479932,-76.329598,36.846772,TRUE
591,PRESQUE ISLE,1,ME,496675,-68.020387,46.673936,TRUE
592,PROVISO,7,IL,411860,-87.925087,41.891322,TRUE
593,PROVISO #9,1,IL,411784,-87.939107,41.98913,TRUE
594,PRYOR,2,OK,369538,-95.337708,36.243028,TRUE
595,PT OF BROWNSVILLE,2,TX,357092,-97.419068,25.954971,TRUE
596,PULLMAN,4,CO,340903,-104.970065,39.773761,TRUE
597,QUEENSGATE,3,OH,431700,-84.544223,39.102256,TRUE
598,RADNOR,3,TN,421791,-86.772222,36.060901,TRUE
599,RALEIGH,1,WV,453199,-81.166936,37.757054,TRUE
600,RAY,2,TX,363186,-96.568474,33.771676,TRUE
601,Red Hook Container Terminal,1,NY,490107,-73.987011,40.693772,TRUE
602,RICE,1,GA,445754,-82.365741,31.203865,TRUE
603,Richmond Marine Termianl (RMT),1,VA,474497,-77.423785,37.460007,TRUE
604,RICKENBACKER INTERMODAL,1,OH,442019,-82.969043,39.330185,TRUE
605,RIGBY,4,ME,495506,-70.301879,43.603126,TRUE
606,RIVER ROUGE,2,MI,440695,-83.138306,42.276145,TRUE
607,RIVERBANK YARD,1,CA,314923,-120.939673,37.734879,TRUE
608,RIVERSIDE,1,MD,478559,-76.59977,39.267,TRUE
609,ROBINSON,1,SC,460000,-80.162416,34.410444,TRUE
610,ROCHESTER,1,NY,473393,-77.644282,43.152955,TRUE
611,ROCK ISLAND,2,IL,392352,-90.559831,41.508848,TRUE
612,ROCK SPRINGS,1,WY,336260,-109.691751,41.576685,TRUE
613,ROCKPORT,1,OH,448769,-81.810901,41.423521,TRUE
614,ROCKY MOUNT,1,NC,472431,-77.928197,35.685677,TRUE
615,ROSSFORD,1,OH,437883,-83.568914,41.597277,TRUE
616,ROZET,1,WY,340098,-105.292425,44.290587,TRUE
617,"Rutherford, PA",1,PA,477271,-76.836299,40.231617,TRUE
618,S&N,1,AL,423742,-86.331088,32.414953,TRUE
619,S. KAISER YARD,1,CA,324555,-117.513624,34.079413,TRUE
620,SAGINAW,4,MI,357676,-97.362036,32.865465,TRUE
621,SALEM (CSAO),1,NJ,484655,-75.155356,39.827265,TRUE
622,Salem Marine Terminal (SMT),1,NJ,483304,-75.462762,39.577557,TRUE
623,"Salt Lake City, UT",3,UT,332559,-112.083795,40.750929,TRUE
624,SAN ANGELO,1,TX,349098,-100.417668,31.480947,TRUE
625,"San Antonio, TX - SAIT",3,TX,350283,-99.472464,27.661892,TRUE
626,SAN BERNARDINO A YARD,2,CA,325367,-117.326676,34.100958,TRUE
627,SAN BERNARDINO B YARD,1,CA,325367,-117.326676,34.100958,TRUE
628,"San Bernardino, CA",3,CA,325271,-117.332018,34.104463,TRUE
629,SAN FERNANDO,1,TX,352236,-98.506002,29.428875,TRUE
630,SAN JOSE YARD,1,CA,311324,-121.904596,37.334477,TRUE
631,SANDUSKY,1,OH,442734,-82.836885,41.270168,TRUE
632,SANTA MARIA YARD,1,CA,316028,-120.443597,34.945997,TRUE
633,"Santa Teresa, NM",2,NM,338129,-107.066081,32.000625,TRUE
634,SANTANTA,1,KS,348179,-100.997939,37.437492,TRUE
635,Savannah Gateway Industrial Hub,3,GA,452965,-81.239198,32.090004,TRUE
636,"Savannah, GA",3,GA,453365,-81.145123,32.073106,TRUE
637,SCOTCHVILLE,1,GA,450675,-81.600335,30.757805,TRUE
638,SCOTT CITY,1,MO,400759,-89.636628,37.204769,TRUE
639,Seaport,1,WA,302770,-122.903773,47.055783,TRUE
640,SEARLES YARD,1,CA,322566,-118.176328,35.059062,TRUE
641,Seattle International Gateway (SIG),1,WA,307602,-122.336823,47.568381,TRUE
642,"Seattle, WA - South Seattle",3,WA,308406,-122.28683,47.476434,TRUE
643,SELKIRK,1,NY,490262,-73.95073,42.68451,TRUE
644,SENECA,4,NY,468791,-78.836236,42.807344,TRUE
645,SETTEGAST,5,TX,369971,-95.293631,29.807512,TRUE
646,SHARON SPRINGS,1,CO,345779,-102.045503,38.858052,TRUE
647,SHEFFIELD,1,AL,414518,-87.64912,34.715499,TRUE
648,SHENANGO,1,PA,457573,-80.401,41.367676,TRUE
649,SHERMAN (DGNO),1,TX,362930,-96.603549,33.629792,TRUE
650,SHIRE OAKS,2,PA,461789,-79.955333,40.241871,TRUE
651,SHIREMANSTOWN,1,PA,476310,-76.96816,40.222253,TRUE
652,SHOPS,1,IL,400844,-89.629836,39.801723,TRUE
653,SHOPS YARD,3,WI,407762,-88.472716,43.794307,TRUE
654,SHOPS YARD (LATC),3,CA,321732,-118.226248,34.060227,TRUE
655,SHOPTON,4,IA,388320,-91.621791,40.518159,TRUE
656,SHORTLINE,2,IA,379998,-93.585685,41.588859,TRUE
657,SHREVEPORT JUNCTION,1,LA,379276,-93.760219,32.492988,TRUE
658,SHREVEPORT RIVERFRONT,1,LA,379361,-93.742606,32.512666,TRUE
659,SIOUX CITY EAST,1,IA,364076,-96.39166,42.49215,TRUE
660,SIOUX CITY STOCKYARDS,1,IA,364268,-96.363235,42.413028,TRUE
661,SIOUX FALLS (BNSF),2,SD,362047,-96.71899,43.533673,TRUE
662,SMITHVILLE,1,TX,359171,-97.16235,30.00702,TRUE
663,SOMERSET YARD,1,CO,337507,-108.089378,38.746213,TRUE
664,SOUTH AMARILLO,2,TX,346555,-101.825501,35.20942,TRUE
665,SOUTH CHICAGO (CN),1,IL,415787,-87.539915,41.729488,TRUE
666,SOUTH JOHNSONBURG,1,PA,469686,-78.671812,41.476636,TRUE
667,SOUTH KLAMATH FALLS YARD,1,OR,311966,-121.770814,42.196195,TRUE
668,SOUTH LAREDO,1,TX,350172,-99.516248,27.500125,TRUE
669,SOUTH SAN ANTONIO,2,TX,351908,-98.593532,29.334475,TRUE
670,SOUTH/INTERNATIONAL,3,TX,338957,-106.489166,31.748694,TRUE
671,"Sparks, NV",3,NV,316627,-119.922753,39.515562,TRUE
672,SPENCER,1,NC,457545,-80.410053,35.70626,TRUE
673,"Spokane, WA",3,WA,324892,-117.378311,47.660927,TRUE
674,SPRINGFIELD,1,MO,380934,-93.3625,37.219274,TRUE
675,SPRINGFIELD SOUTH,3,MO,381332,-93.309972,37.211547,TRUE
676,"Springfield, MA",1,MA,492560,-72.625914,42.100063,TRUE
677,SPRUANCE GENCO LEAD,1,VA,474267,-77.438698,37.466586,TRUE
678,ST JOSEPH,1,MO,372981,-94.8556,39.75817,TRUE
679,"St. Louis, MO",1,MO,395008,-90.213504,38.688806,TRUE
680,"St. Louis, MO - Lindenwood",2,MO,392598,-90.493288,38.218528,TRUE
681,"St. Paul, MN - Midway",3,MN,382394,-93.20767,44.972935,TRUE
682,"Stackbridge, MA",2,MA,493459,-71.811839,42.245696,TRUE
683,STATE JCT,1,SC,463591,-79.860947,33.144907,TRUE
684,STATE LINE,2,MO,374727,-94.60724,39.099988,TRUE
685,STATE LINE PWR PLT,2,IL,415936,-87.526008,41.707724,TRUE
686,STOCKTON INTERMODAL TERMINAL,1,CA,314069,-121.259702,37.950351,TRUE
687,STOCKTON YARD,5,CA,313746,-121.274289,37.907036,TRUE
688,STOCKTON YARD (CALTRAIN SHOPS),1,CA,311285,-121.914288,37.342221,TRUE
689,"Stockton, CA",2,CA,313886,-121.271337,37.901406,TRUE
690,STRANG,3,TX,371933,-95.043264,29.683482,TRUE
691,SUNNYSIDE,1,TX,377551,-94.165657,30.071083,TRUE
692,SWEETWATER,2,TX,349158,-100.39933,32.50641,TRUE
693,Talleyrand Intermodal Container Transfer Facility (ICTF),3,FL,450150,-81.645318,30.349671,TRUE
694,"Tampa, FL",1,FL,445641,-82.384023,27.955503,TRUE
695,"Taylor, PA",3,PA,481913,-75.783535,41.343879,TRUE
696,TEMPLE,4,TX,357842,-97.354922,31.094714,TRUE
697,TENNESSEE,1,TN,399370,-89.865066,34.994259,TRUE
698,Terminal,7,CA,318637,-119.203487,25.951973,TRUE
699,Terminal 115 (T-115),1,WA,307239,-122.355815,47.570539,TRUE
700,Terminal 18 (T-18),1,WA,307360,-122.349271,47.572536,TRUE
701,Terminal 3 (T-3),1,WA,307464,-122.340535,47.570834,TRUE
702,Terminal 5,1,WA,307239,-122.355815,47.570539,TRUE
703,TEXARKANA,2,TX,378127,-94.049975,33.416568,TRUE
704,TEXARKANA UP(SSW),1,TX,378119,-94.051518,33.415616,TRUE
705,TEXAS CITY TERMINAL,1,TX,372417,-94.939742,29.350115,TRUE
706,THOMASVILLE,1,GA,435729,-83.99284,30.833201,TRUE
707,THOMSON WORKS,1,PA,464193,-79.837733,40.392227,TRUE
708,TIPTON,1,IN,423043,-86.50451,40.282661,TRUE
709,TOLEDO MEGA TERMINAL,1,OH,437686,-83.613414,41.632944,TRUE
710,"Toledo, OH",3,OH,437083,-83.709479,41.634169,TRUE
711,TOPEKA (BNSF),1,KS,367800,-95.663726,39.053404,TRUE
712,Total Terminals International (TTI/Pier T),1,CA,321280,-118.238196,33.760317,TRUE
713,TOWER 55,4,TX,357923,-97.349984,32.737287,TRUE
714,TRACY YARD,1,CA,312831,-121.419892,37.735937,TRUE
715,TRANSFER,1,IN,424358,-86.215563,39.755803,TRUE
716,TRANSFER YARD,2,CA,320943,-118.254259,33.771895,TRUE
717,TRANSFLO TERMINAL,1,TN,421797,-86.771536,36.146694,TRUE
718,TraPac Terminal,1,CA,308010,-122.311923,37.822994,TRUE
719,TRINIDAD,1,CO,342365,-104.486951,36.993897,TRUE
720,TUCKAHOE,1,NJ,485963,-74.761206,39.292804,TRUE
721,TUCSON YARD,1,AZ,335305,-110.952718,32.213283,TRUE
722,"Tucson, AZ",2,AZ,335597,-110.761756,32.07535,TRUE
723,TWIN FALLS,1,ID,329042,-114.765397,42.594405,TRUE
724,TYBURN YARD,1,PA,485942,-74.768518,40.191897,TRUE
725,UCETA,1,FL,445429,-82.40298,27.959596,TRUE
726,UNION STOCK YARD,1,NE,365981,-95.95018,41.204635,TRUE
727,VALLEY,3,IL,396173,-90.150441,38.577614,TRUE
728,VAN BUREN,1,AR,376537,-94.35941,35.435201,TRUE
729,VASSAR,1,MI,437844,-83.57765,43.37433,TRUE
730,Velasco Container Terminal,1,TX,369493,-95.344478,28.938349,TRUE
731,VENICE,1,IL,395935,-90.165024,38.643608,TRUE
732,Virginia International Gateway (VIG),3,VA,479573,-76.43484,36.841978,TRUE
733,VON WILLER,1,OH,450349,-81.631231,41.465463,TRUE
734,WALL STREET,1,TX,377803,-94.111542,30.076841,TRUE
735,Wando Welch Terminal,3,SC,461883,-79.949919,32.825708,TRUE
736,WANSFORD,1,IN,415782,-87.539964,38.013051,TRUE
737,WARM SPRINGS YARD,1,CA,311299,-121.909363,37.443328,TRUE
738,WARNER,1,MI,438828,-83.434242,41.851371,TRUE
739,Washington United Terminals (WUT),1,WA,305981,-122.404036,47.254587,TRUE
740,WATERVILLE,2,ME,495883,-69.626684,44.559828,TRUE
741,WATKINS ROAD,1,OH,442244,-82.948984,39.891836,TRUE
742,WATSON YARD,1,CA,320963,-118.253864,33.79829,TRUE
743,WAUHATCHIE,1,TN,428035,-85.38472,34.983249,TRUE
744,WAVERLY,2,MI,424962,-86.086089,40.690892,TRUE
745,WAYNE (NS),1,MI,439054,-83.397116,42.277603,TRUE
746,WELLINGTON,1,KS,357303,-97.395806,37.26068,TRUE
747,WEST ALBANY,2,NY,490953,-73.794041,42.687244,TRUE
748,West Basin Container Terminal (WBCT) - China Shipping Holding (Berths 1-19),1,CA,320831,-118.263198,33.766779,TRUE
749,WEST BROWNSVILLE,4,PA,462893,-79.893408,40.03162,TRUE
750,WEST CHICAGO,6,IL,409290,-88.244495,41.882946,TRUE
751,WEST COLTON YARD,3,CA,325052,-117.354703,34.066345,TRUE
752,WEST DAVENPORT,1,IA,391434,-90.823546,41.458769,TRUE
753,WEST QUINCY,1,MO,388813,-91.46069,39.891011,TRUE
754,West Sitcum Terminal,3,WA,305935,-122.405671,47.250961,TRUE
755,West Terminal,1,FL,426546,-85.729662,30.182828,TRUE
756,WEST YARD,1,KS,374421,-94.632146,39.090826,TRUE
757,WEST YARD - OGDEN,2,UT,333209,-111.987035,41.229289,TRUE
758,WESTERN AVE,1,IL,414089,-87.685609,41.85746,TRUE
759,WIGGINS #2,1,IL,395940,-90.164581,38.662558,TRUE
760,WILLARD,3,OH,443400,-82.729608,41.060258,TRUE
761,WILLIAMSON,2,WV,446099,-82.275802,37.628021,TRUE
762,"Wilmington, CA - TraPac Intermodal Container Transfer Facility",3,CA,320790,-118.277919,33.72642,TRUE
763,WILSMERE,1,DE,482450,-75.620214,39.730191,TRUE
764,"Winter Haven, FL - Central Florida Intermodal Logistics Center (CFILC)",3,FL,450129,-81.646247,27.88596,TRUE
765,"Worcester, MA",3,MA,493459,-71.811839,42.247836,TRUE
766,WYLIE,1,TX,363320,-96.547026,33.010173,TRUE
767,"Wylie, TX",2,TX,361823,-96.748611,32.915895,TRUE
768,YARD CENTER,1,IL,415013,-87.612197,41.597202,TRUE
769,YEOMAN,2,FL,445641,-82.384023,27.955503,TRUE
770,YOLO PORT YARD,1,CA,312385,-121.581726,38.559364,TRUE
771,YSIDRO YARD,1,CA,326094,-117.098431,32.637383,TRUE
772,YUMA YARD,1,AZ,329180,-114.615434,32.725979,TRUE
773,Yusen Terminals (Berths 212-225),2,CA,321043,-118.249181,33.756278,TRUE
